"(64, 190)","(39, 22)","(189, 190)","(67, 74)","(22, 190)","(80, 78)","(39, 46)","(133, 124)","(4, 22)","(80, 190)"
548,584,440,733,445,613,401,278,607,492
302,518,617,755,245,601,467,225,670,549
536,537,509,813,599,568,675,346,589,463
520,593,493,722,629,608,424,330,626,545
506,647,468,627,626,496,442,185,651,541
426,534,811,801,577,628,415,293,521,687
686,389,805,599,379,601,468,64,332,738
655,596,759,645,635,642,487,247,604,713
536,724,437,742,472,566,475,344,667,545
601,658,661,708,373,568,398,353,617,605
536,681,629,600,463,490,508,336,769,543
554,696,370,759,591,606,441,414,566,501
572,616,487,700,533,583,408,456,636,584
702,660,723,635,741,397,500,398,238,748
656,672,554,758,559,649,418,422,722,683
466,566,586,697,441,563,351,420,540,532
491,727,551,643,300,486,375,360,704,559
560,466,464,837,365,600,512,285,343,595
561,569,466,701,293,631,448,262,626,509
369,570,826,607,309,489,480,419,610,786
283,637,671,589,437,505,493,196,584,717
408,642,586,725,260,639,332,288,536,727
599,514,449,595,685,415,404,226,567,628
610,590,650,626,574,734,462,294,646,636
784,720,348,675,750,635,464,482,728,477
554,670,574,675,564,601,370,247,659,575
478,709,413,724,557,596,464,396,634,495
596,407,352,802,306,520,502,433,397,498
668,652,746,526,362,679,364,344,669,697
579,417,506,632,310,585,448,354,399,595
539,763,464,621,476,542,341,398,560,558
528,578,450,636,525,673,400,243,643,608
521,759,601,707,466,512,444,308,674,538
555,474,492,599,603,555,394,295,482,602
640,639,376,764,439,754,465,384,417,557
581,681,611,732,769,592,428,445,646,691
438,591,345,798,274,476,524,365,664,543
627,756,481,550,602,603,491,349,838,634
656,481,325,772,453,593,478,54,670,508
477,871,371,712,511,571,457,216,660,483
329,692,692,719,375,425,474,324,685,711
439,660,478,664,611,525,416,191,616,526
572,768,404,616,560,787,449,135,591,533
621,761,583,606,667,540,355,140,736,477
284,585,796,676,345,620,359,334,529,768
672,514,596,559,514,522,396,424,407,549
641,402,609,771,367,625,576,351,301,740
719,697,584,646,733,576,419,377,602,687
536,672,435,730,371,563,552,206,567,574
676,400,601,736,331,694,514,330,303,716
329,366,826,695,108,569,427,205,330,765
502,737,337,614,462,587,393,394,600,547
550,605,619,658,521,431,528,244,476,556
724,685,344,690,793,394,542,458,624,543
516,665,565,682,554,652,403,311,639,565
514,580,558,712,581,478,572,154,596,559
552,665,556,715,472,389,377,282,339,535
461,726,382,635,454,498,506,598,683,571
549,477,313,715,462,539,724,413,478,467
584,568,360,688,454,409,510,188,460,518
716,636,632,678,703,610,455,315,668,776
339,696,372,672,382,537,459,228,630,474
607,613,500,708,368,658,496,410,555,580
490,533,635,586,292,721,394,307,720,634
692,576,675,722,724,593,359,286,382,731
508,724,552,589,560,416,500,337,565,563
576,569,410,646,473,414,446,412,578,473
448,724,428,787,453,538,452,190,696,608
720,579,490,658,544,576,421,227,710,577
623,541,606,693,469,447,495,327,559,555
546,556,587,679,666,637,371,408,524,723
506,679,437,637,495,659,426,359,593,536
633,931,387,576,518,605,340,418,643,540
548,372,385,728,310,412,430,357,438,620
711,605,604,608,431,494,395,224,574,625
549,575,401,706,294,565,345,228,515,556
508,727,401,808,572,409,416,516,697,543
497,612,319,557,419,561,394,273,613,451
441,787,573,656,465,373,387,328,674,554
262,649,543,651,364,654,368,470,539,492
485,818,412,666,524,621,539,362,798,574
500,697,569,596,537,558,389,119,684,472
538,885,579,737,642,568,456,254,704,489
477,600,393,730,244,719,453,231,530,508
477,708,590,757,613,607,424,392,140,621
533,654,512,651,442,622,419,377,621,502
506,607,454,630,650,504,571,473,534,556
660,786,709,727,564,492,364,105,748,632
693,645,555,656,476,464,458,252,589,717
402,551,345,673,464,520,480,264,514,490
598,334,592,753,421,617,439,438,87,622
475,633,605,633,316,611,402,231,582,770
282,644,630,657,217,640,410,347,623,734
504,657,564,731,470,540,409,382,604,522
485,733,477,725,620,576,336,195,611,522
523,632,471,836,374,539,514,268,594,565
553,560,492,701,497,544,521,423,498,563
772,763,503,679,549,577,443,272,624,621
484,646,629,667,450,599,466,306,696,536
654,574,522,675,490,457,514,278,595,466
682,750,569,671,739,616,529,339,640,700
591,817,503,690,602,534,469,434,658,523
486,833,423,646,595,557,420,240,612,585
619,524,396,754,389,655,394,228,83,582
532,806,402,736,560,434,397,464,635,603
502,578,483,703,481,526,458,225,613,572
615,618,641,707,632,636,447,74,548,581
432,604,350,615,603,720,496,337,583,481
567,610,561,655,410,625,406,331,536,493
646,671,361,695,643,597,409,130,715,503
434,715,584,720,313,646,447,418,601,507
522,723,429,744,573,648,406,296,681,581
672,811,586,706,611,651,480,296,708,726
591,639,583,609,500,582,488,306,562,500
538,591,446,706,482,552,489,267,535,535
609,754,476,654,590,573,469,400,699,541
582,679,603,573,578,656,384,369,625,578
548,730,444,667,632,546,456,424,732,523
723,854,486,573,667,685,626,159,737,486
294,405,657,563,327,621,404,300,541,730
302,405,590,678,117,564,451,161,372,707
599,698,617,632,483,642,386,254,537,503
694,710,373,718,748,624,439,253,687,453
580,640,403,857,463,666,440,282,607,579
461,569,516,608,497,585,444,213,544,640
500,658,466,614,637,534,465,390,669,532
654,395,380,701,295,477,336,459,358,516
712,527,645,731,681,588,425,451,623,626
542,691,407,703,632,651,421,412,619,638
541,422,616,614,308,629,527,396,407,556
470,603,550,649,312,493,550,336,567,475
425,672,564,651,533,673,450,284,642,512
538,622,394,737,302,619,440,249,614,448
508,605,404,782,456,455,415,524,759,590
608,590,729,735,631,523,592,266,475,740
504,640,602,784,498,679,410,345,590,576
806,651,397,784,535,651,439,236,594,530
351,772,529,702,512,630,485,399,835,456
593,596,695,644,547,679,436,448,539,634
464,651,493,811,500,611,452,253,741,519
506,731,409,779,564,453,532,207,503,552
519,578,401,633,487,597,559,312,529,519
557,826,580,724,536,568,420,345,737,519
546,702,350,744,341,418,432,379,583,499
657,672,827,689,782,572,526,337,579,780
330,646,604,693,349,568,429,455,624,707
477,545,438,562,490,671,430,199,509,587
476,406,426,683,255,556,455,407,382,494
491,786,419,645,564,588,392,150,639,520
420,636,590,787,602,622,369,360,592,556
583,518,392,654,316,689,389,285,684,530
664,399,565,639,472,551,464,309,413,467
555,535,770,706,622,606,345,441,531,692
491,673,428,624,578,549,376,325,647,534
542,526,434,702,475,504,403,446,540,544
482,580,401,766,553,727,428,220,519,581
458,644,420,783,545,406,529,264,615,564
465,406,413,826,314,447,479,369,365,575
686,459,788,674,709,509,464,421,521,738
494,599,579,668,517,624,368,426,564,507
574,817,357,646,461,625,384,277,598,490
563,660,597,697,542,387,351,372,679,590
462,797,446,819,532,589,396,294,735,533
510,794,468,669,579,535,378,340,639,563
576,387,475,766,400,740,455,157,365,660
782,527,543,579,462,752,475,175,471,505
539,643,552,802,411,533,418,103,784,634
725,541,596,707,643,531,383,282,518,697
570,646,465,733,430,643,487,459,642,524
482,621,417,725,593,436,435,155,681,612
769,658,580,689,729,674,455,387,522,674
555,662,582,727,499,494,409,206,577,511
447,740,353,753,513,476,510,369,618,490
658,459,468,747,303,451,508,344,349,524
454,749,369,727,495,635,496,416,822,574
586,659,447,606,663,518,483,454,555,629
503,573,412,662,567,523,391,326,578,581
459,555,471,620,632,597,387,442,563,558
459,685,403,717,542,466,412,378,517,537
458,779,377,743,523,448,378,328,737,584
472,619,408,657,639,549,468,243,585,586
582,553,786,788,739,475,459,261,593,711
772,755,565,721,741,702,641,241,655,506
538,680,405,630,405,444,589,293,631,513
529,485,638,831,549,484,513,406,368,676
505,772,585,657,537,702,367,334,654,544
720,651,381,609,702,713,578,410,560,453
461,507,417,720,306,527,374,290,383,536
547,636,393,726,633,539,389,350,556,533
498,679,511,717,561,812,524,552,574,554
470,550,392,741,520,636,377,304,426,567
602,751,608,654,502,691,403,272,585,552
482,598,622,696,426,572,366,447,712,730
539,813,501,702,495,762,454,303,679,507
488,530,423,627,313,657,356,417,706,537
617,724,479,695,673,462,487,270,654,693
535,571,393,736,311,681,393,192,680,574
674,808,747,656,708,664,424,348,492,668
456,488,380,745,284,581,370,464,391,489
545,559,402,636,483,404,403,356,602,570
